key	global	local
entity.minecraft.slime	Slime	スライム
entity.minecraft.small_fireball	Small Fireball	小さな火の玉
entity.minecraft.sniffer	Sniffer	スニッファー
entity.minecraft.snow_golem	Snow Golem	スノウゴーレム
entity.minecraft.snowball	Snowball	雪玉
entity.minecraft.spawner_minecart	Minecart with Monster Spawner	モンスタースポナー付きのトロッコ
entity.minecraft.spectral_arrow	Spectral Arrow	光の矢
entity.minecraft.spider	Spider	クモ
entity.minecraft.squid	Squid	イカ
entity.minecraft.stray	Stray	ストレイ
entity.minecraft.strider	Strider	ストライダー
entity.minecraft.tadpole	Tadpole	オタマジャクシ
entity.minecraft.text_display	Text Display	テキスト表示エンティティ
entity.minecraft.tnt	Primed TNT	着火されたTNT
entity.minecraft.tnt_minecart	Minecart with TNT	TNT付きのトロッコ
entity.minecraft.trader_llama	Trader Llama	商人のラマ
entity.minecraft.trident	Trident	トライデント
entity.minecraft.tropical_fish	Tropical Fish	熱帯魚
entity.minecraft.turtle	Turtle	カメ
entity.minecraft.vex	Vex	ヴェックス
entity.minecraft.villager	Villager	村人
entity.minecraft.villager.armorer	Armorer	防具鍛冶
entity.minecraft.villager.butcher	Butcher	肉屋
entity.minecraft.villager.cartographer	Cartographer	製図家
entity.minecraft.villager.cleric	Cleric	聖職者
entity.minecraft.villager.farmer	Farmer	農民
entity.minecraft.villager.fisherman	Fisherman	釣り人
entity.minecraft.villager.fletcher	Fletcher	矢師
entity.minecraft.villager.leatherworker	Leatherworker	革細工師
entity.minecraft.villager.librarian	Librarian	司書
entity.minecraft.villager.mason	Mason	石工
entity.minecraft.villager.nitwit	Nitwit	無職
entity.minecraft.villager.none	Villager	村人
entity.minecraft.villager.shepherd	Shepherd	羊飼い
entity.minecraft.villager.toolsmith	Toolsmith	道具鍛冶
entity.minecraft.villager.weaponsmith	Weaponsmith	武器鍛冶
entity.minecraft.vindicator	Vindicator	ヴィンディケーター
entity.minecraft.wandering_trader	Wandering Trader	行商人
entity.minecraft.warden	Warden	ウォーデン
entity.minecraft.witch	Witch	ウィッチ
entity.minecraft.wither	Wither	ウィザー
entity.minecraft.wither_skeleton	Wither Skeleton	ウィザースケルトン
entity.minecraft.wither_skull	Wither Skull	ウィザーの頭蓋骨
entity.minecraft.wolf	Wolf	オオカミ
entity.minecraft.zoglin	Zoglin	ゾグリン
entity.minecraft.zombie	Zombie	ゾンビ
entity.minecraft.zombie_horse	Zombie Horse	ゾンビホース
entity.minecraft.zombie_villager	Zombie Villager	村人ゾンビ
entity.minecraft.zombified_piglin	Zombified Piglin	ゾンビピグリン
