key	global	local
death.attack.genericKill.player	%1$s was killed whilst fighting %2$s	%1$s was killed whilst fighting %2$s
death.attack.generic.player	%1$s died because of %2$s	%1$s died because of %2$s
death.attack.hotFloor	%1$s discovered the floor was lava	%1$s discovered the floor was lava
death.attack.hotFloor.player	%1$s walked into the danger zone due to %2$s	%1$s walked into the danger zone due to %2$s
death.attack.indirectMagic	%1$s was killed by %2$s using magic	%1$s was killed by %2$s using magic
death.attack.indirectMagic.item	%1$s was killed by %2$s using %3$s	%1$s was killed by %2$s using %3$s
death.attack.inFire	%1$s went up in flames	%1$s went up in flames
death.attack.inFire.player	%1$s walked into fire whilst fighting %2$s	%1$s walked into fire whilst fighting %2$s
death.attack.inWall	%1$s suffocated in a wall	%1$s suffocated in a wall
death.attack.inWall.player	%1$s suffocated in a wall whilst fighting %2$s	%1$s suffocated in a wall whilst fighting %2$s
death.attack.lava	%1$s tried to swim in lava	%1$s tried to swim in lava
death.attack.lava.player	%1$s tried to swim in lava to escape %2$s	%1$s tried to swim in lava to escape %2$s
death.attack.lightningBolt	%1$s was struck by lightning	%1$s was struck by lightning
death.attack.lightningBolt.player	%1$s was struck by lightning whilst fighting %2$s	%1$s was struck by lightning whilst fighting %2$s
death.attack.magic	%1$s was killed by magic	%1$s was killed by magic
death.attack.magic.player	%1$s was killed by magic whilst trying to escape %2$s	%1$s was killed by magic whilst trying to escape %2$s
death.attack.message_too_long	Actually, the message was too long to deliver fully. Sorry! Here's stripped version: %s	Actually, the message was too long to deliver fully. Sorry! Here's stripped version: %s
death.attack.mob	%1$s was slain by %2$s	%1$s was slain by %2$s
death.attack.mob.item	%1$s was slain by %2$s using %3$s	%1$s was slain by %2$s using %3$s
death.attack.onFire	%1$s burned to death	%1$s burned to death
death.attack.onFire.item	%1$s was burnt to a crisp whilst fighting %2$s wielding %3$s	%1$s was burnt to a crisp whilst fighting %2$s wielding %3$s
death.attack.onFire.player	%1$s was burnt to a crisp whilst fighting %2$s	%1$s was burnt to a crisp whilst fighting %2$s
death.attack.outsideBorder	%1$s left the confines of this world	%1$s left the confines of this world
death.attack.outsideBorder.player	%1$s left the confines of this world whilst fighting %2$s	%1$s left the confines of this world whilst fighting %2$s
death.attack.outOfWorld	%1$s fell out of the world	%1$s fell out of the world
death.attack.outOfWorld.player	%1$s didn't want to live in the same world as %2$s	%1$s didn't want to live in the same world as %2$s
death.attack.player	%1$s was slain by %2$s	%1$s was slain by %2$s
death.attack.player.item	%1$s was slain by %2$s using %3$s	%1$s was slain by %2$s using %3$s
death.attack.sonic_boom	%1$s was obliterated by a sonically-charged shriek	%1$s was obliterated by a sonically-charged shriek
death.attack.sonic_boom.item	%1$s was obliterated by a sonically-charged shriek whilst trying to escape %2$s wielding %3$s	%1$s was obliterated by a sonically-charged shriek whilst trying to escape %2$s wielding %3$s
death.attack.sonic_boom.player	%1$s was obliterated by a sonically-charged shriek whilst trying to escape %2$s	%1$s was obliterated by a sonically-charged shriek whilst trying to escape %2$s
death.attack.stalagmite	%1$s was impaled on a stalagmite	%1$s was impaled on a stalagmite
death.attack.stalagmite.player	%1$s was impaled on a stalagmite whilst fighting %2$s	%1$s was impaled on a stalagmite whilst fighting %2$s
death.attack.starve	%1$s starved to death	%1$s starved to death
death.attack.starve.player	%1$s starved to death whilst fighting %2$s	%1$s starved to death whilst fighting %2$s
death.attack.sting	%1$s was stung to death	%1$s was stung to death
death.attack.sting.item	%1$s was stung to death by %2$s using %3$s	%1$s was stung to death by %2$s using %3$s
death.attack.sting.player	%1$s was stung to death by %2$s	%1$s was stung to death by %2$s
death.attack.sweetBerryBush	%1$s was poked to death by a sweet berry bush	%1$s was poked to death by a sweet berry bush
death.attack.sweetBerryBush.player	%1$s was poked to death by a sweet berry bush whilst trying to escape %2$s	%1$s was poked to death by a sweet berry bush whilst trying to escape %2$s
death.attack.thorns	%1$s was killed trying to hurt %2$s	%1$s was killed trying to hurt %2$s
death.attack.thorns.item	%1$s was killed by %3$s trying to hurt %2$s	%1$s was killed by %3$s trying to hurt %2$s
death.attack.thrown	%1$s was pummeled by %2$s	%1$s was pummeled by %2$s
death.attack.thrown.item	%1$s was pummeled by %2$s using %3$s	%1$s was pummeled by %2$s using %3$s
death.attack.trident	%1$s was impaled by %2$s	%1$s was impaled by %2$s
death.attack.trident.item	%1$s was impaled by %2$s with %3$s	%1$s was impaled by %2$s with %3$s
death.attack.wither	%1$s withered away	%1$s withered away
death.attack.wither.player	%1$s withered away whilst fighting %2$s	%1$s withered away whilst fighting %2$s
death.attack.witherSkull	%1$s was shot by a skull from %2$s	%1$s was shot by a skull from %2$s
death.attack.witherSkull.item	%1$s was shot by a skull from %2$s using %3$s	%1$s was shot by a skull from %2$s using %3$s
death.fell.accident.generic	%1$s fell from a high place	%1$s fell from a high place
death.fell.accident.ladder	%1$s fell off a ladder	%1$s fell off a ladder
death.fell.accident.other_climbable	%1$s fell while climbing	%1$s fell while climbing
death.fell.accident.scaffolding	%1$s fell off scaffolding	%1$s fell off scaffolding
death.fell.accident.twisting_vines	%1$s fell off some twisting vines	%1$s fell off some twisting vines
death.fell.accident.vines	%1$s fell off some vines	%1$s fell off some vines
death.fell.accident.weeping_vines	%1$s fell off some weeping vines	%1$s fell off some weeping vines
death.fell.assist	%1$s was doomed to fall by %2$s	%1$s was doomed to fall by %2$s
death.fell.assist.item	%1$s was doomed to fall by %2$s using %3$s	%1$s was doomed to fall by %2$s using %3$s
death.fell.finish	%1$s fell too far and was finished by %2$s	%1$s fell too far and was finished by %2$s
death.fell.finish.item	%1$s fell too far and was finished by %2$s using %3$s	%1$s fell too far and was finished by %2$s using %3$s
death.fell.killer	%1$s was doomed to fall	%1$s was doomed to fall
