name_global	name_local
Actually, message was too long to deliver fully. Sorry! Here's stripped version:	メッセージが長過ぎるので表示できません
{victim} withered away	{victim}は干からびた
{victim} withered away whilst fighting {killer}	{victim}は{killer}と戦いながら干からびた
{victim} was shot by a skull from {killer}	{victim}は{killed}の頭蓋骨に打たれた
{victim} was squashed by a falling anvil	{victim}は落下してきた金床に押しつぶされた
{victim} was squashed by a falling anvil whilst fighting {killer}	{victim}は{killer}と戦いながら落下してきた金床に押しつぶされた
{victim} was squashed by a falling block	{victim}は落下してきたブロックに押しつぶされた
{victim} was squashed by a falling block whilst fighting {killer}	{victim}は{killer}と戦いながら落ちてきたブロックに押しつぶされた
{victim} was impaled on a stalagmite	{victim}は鍾乳石に突き刺さった
{victim} was impaled on a stalagmite whilst fighting {killer}	{victim}は{killer}と戦いながら鍾乳石に突き刺さった
{victim} was skewered by a falling stalactite	{victim}は落ちてきた鍾乳石に串刺しにされた
{victim} was skewered by a falling stalactite whilst fighting {killer}	{victim}は{killer}と戦いながら落ちてきた鍾乳石に串刺しにされた
{victim} was slain by {killer}	{victim}は{killer}に殺害された
{victim} was slain by {killer} using {weapon}	{victim}は{killer}の{weapon}で殺害された
{victim} was shot by {killer}	{victim}は{killer}に射抜かれた
{victim} was shot by {killer} using {weapon}	{victim}は{killer}に{weapon}で射抜かれた
{victim} was fireballed by {killer}	{victim}は{killer}に火だるまにされた
{victim} was fireballed by {killer} using {weapon}	{victim}は{killer}の{weapon}で火だるまにされた
{victim} was pummeled by {killer}	{victim}は{killer}によってぺしゃんこにされた
{victim} was pummeled by {killer} using {weapon}	{victim}は{killer}の{weapon}でぺしゃんこにされた
{victim} was killed by {killer} using magic	{victim}は{killer}の魔法で殺された
{victim} was killed by {killer} using {weapon}	{victim}は{killer}の{weapon}で殺された
{victim} was killed trying to hurt {killer}	{victim}は{killer}を傷つけようとして殺された
{victim} was killed by {weapon} trying to hurt {killer}	{victim}は{killer}を傷つけようとして{weapon}に殺された
{victim} was impaled by {killer}	{victim}は{killer}によって突き抜かれた
{victim} was impaled by {killer} with {weapon}	{victim}は{killer}の{weapon}で突き抜かれた
{victim} hit the ground too hard	{victim}は地面に強く激突した
{victim} hit the ground too hard whilst trying to escape {killer}	{victim}は{killer}から逃れようとして地面に強く激突した
{victim} fell out of the world	{victim}は奈落の底へ落ちた
{victim} didn't want to live in the same world as {killer}	{victim}は{killer}と同じワールドに住みたくなかった
{victim} was roasted in dragon breath	{victim}はドラゴンブレスで炙り焼きにされた
{victim} was roasted in dragon breath by {killer}	{victim}は{killer}のドラゴンブレスで炙り焼きにされた
{victim} experienced kinetic energy	{victim}は運動エネルギーを体験した
{victim} experienced kinetic energy whilst trying to escape {killer}	{victim}は{killer}から逃れようとして運動エネルギーを体験した
{victim} went off with a bang	{victim}は花火の爆発に巻き込まれた
{victim} went off with a bang whilst fighting {killer}	{victim}は{killer}と戦いながら花火の爆発に巻き込まれた
{victim} went off with a bang due to a firework fired from {weapon} by {killer}	{victim}は{killer}の{weapon}が発射した花火の爆発に巻き込まれた
{victim} was killed by [Intentional Game Design]	{victim}は ゲームの仕様 に殺された
{victim} was poked to death by a sweet berry bush	{victim}はスイートベリーの棘が刺さって死んだ
{victim} was poked to death by a sweet berry bush whilst trying to escape {killer}	{victim}は{killer}から逃げようとしてスイートベリーの棘が刺さって死んだ
{victim} was stung to death	{victim}は刺されて死んだ
{victim} was stung to death by {killer}	{victim}は{killer}に刺されて死んだ
{victim} froze to death	{victim}は凍え死んだ
{victim} was frozen to death by {killer}	{victim}は{killer}によって凍え死んだ
